ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,N_VICTIMAS,FECHA_SINIESTRO,HORA_SINIESTRO,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ID,Year,Rango_Edad
Peaton,Peaton,Masculino,38,2016-04-22 00:00:00,1,2016-04-22,09:30:00,9,Av Triunvirato Y Av Olazabal,Avenida,12,-58.48429180,-34.57558053,Peaton-Pasajeros,Pasajeros,37,2016,21-40
Conductor,Moto,Masculino,30,2016-04-25 00:00:00,1,2016-04-23,21:00:00,21,Au Luis Dellepiane Y Av Gral Paz,Autopista,8,-58.48695354,-34.68795245,Moto-Moto,Moto,38,2016,21-40
Peaton,Peaton,Masculino,79,2016-04-28 00:00:00,1,2016-04-25,20:30:00,20,Ramon Castilla Y Av Figueroa Alcorta,Avenida,14,-58.40021959,-34.57964781,Peaton-Cargas,Cargas,39,2016,61-90
Conductor,Moto,Masculino,26,2016-04-26 00:00:00,1,2016-04-26,04:45:00,4,Av Luis Maria Campos 30,Avenida,14,-58.42957885,-34.57660058,Moto-Objeto Fijo,Objeto Fijo,40,2016,21-40
Peaton,Peaton,Femenino,57,2016-05-08 00:00:00,1,2016-05-04,14:00:00,14,Lima 1471,Calle,1,-58.38247542,-34.62556293,Peaton-Moto,Moto,41,2016,41-60
Peaton,Peaton,Masculino,37,2016-05-26 00:00:00,1,2016-05-08,16:30:00,16,Pasaje Ciudadela Y Lima Oeste,Calle,1,-58.38222219,-34.62728101,Peaton-Pasajeros,Pasajeros,42,2016,21-40
Peaton,Peaton,Masculino,20,2016-05-14,1,2016-05-14,18:11:00,18,Av Juan B Justo Y Av Carrasco,Avenida,10,-58.49485242,-34.62953445,Peaton-Pasajeros,Pasajeros,43,2016,21-40
Peaton,Peaton,Masculino,20,2016-05-20 00:00:00,1,2016-05-20,14:40:00,14,Av Gaona Y Espinosa,Avenida,6,-58.45227946,-34.61068024,Peaton-Auto,Auto,44,2016,21-40
Pasajero_Acompañante,Moto,Femenino,30,2016-05-21,1,2016-05-21,17:00:00,17,Av Lisandro De La Torre Y Saraza,Avenida,8,-58.48455411,-34.67512760,Moto-Pasajeros,Pasajeros,45,2016,21-40
Conductor,Moto,Masculino,58,2016-05-22,1,2016-05-22,22:00:00,22,Av Figueroa Alcorta Y Av Pueyrredon,Avenida,2,-58.39056593,-34.58418569,Moto-Pasajeros,Pasajeros,46,2016,41-60
Conductor,Auto,Masculino,30,2016-05-23 00:00:00,1,2016-05-23,03:30:00,3,Av Entre Rios Y Pasaje Filiberto,Avenida,3,-58.39118948,-34.62704273,Auto-Cargas,Cargas,47,2016,21-40
Conductor,Moto,Masculino,23,2016-06-11,1,2016-06-11,15:00:00,15,Magariños Cervantes 3900,Calle,10,-58.49021952,-34.62025108,Moto-Cargas,Cargas,48,2016,21-40
Conductor,Auto,Masculino,60,2016-06-12,1,2016-06-12,06:40:00,6,Av Gral Paz Y Rodolfo Scapino,Gral Paz,8,-58.49896559,-34.67732118,Auto-Auto,Auto,49,2016,61-90
Peaton,Peaton,Masculino,42,2016-06-12 00:00:00,1,2016-06-12,23:13:00,23,Autopista Dellepiane Luis Tte Gral Y Miralla,Autopista,8,-58.47461076,-34.66874679,Peaton-Auto,Auto,50,2016,41-60
Peaton,Peaton,Femenino,53,2016-06-13 00:00:00,1,2016-06-13,16:20:00,16,Av San Martin Y Camarones,Avenida,15,-58.46210891,-34.60356211,Peaton-Pasajeros,Pasajeros,51,2016,41-60
Peaton,Peaton,Femenino,42,2016-06-13,1,2016-06-13,21:52:00,21,Tteg Juan D Peron Y Avda Leandro N Alem,Avenida,1,-58.37027770,-34.60536123,Peaton-Pasajeros,Pasajeros,52,2016,41-60
Conductor,Moto,Masculino,30,2016-06-13,1,2016-06-13,23:01:00,23,Av Belgrano Y Av Jujuy,Avenida,3,-58.40491455,-34.61463830,Moto-Moto,Moto,53,2016,21-40
Conductor,Auto,Femenino,51,2016-06-16,1,2016-06-16,17:13:00,17,Av Del Libertador Y Av Guillermo Udaondo,Avenida,13,-58.45504154,-34.54864492,Auto-Auto,Auto,54,2016,41-60
Conductor,Moto,Masculino,40,2016-06-22,1,2016-06-22,07:42:00,7,Av Crisologo Larralde Y Machain,Avenida,12,-58.48721060,-34.55904606,Moto-Auto,Auto,55,2016,41-60
Peaton,Peaton,Masculino,87,2016-07-05 00:00:00,1,2016-06-27,18:24:00,18,Av La Plata 2384,Avenida,4,-58.42273092,-34.64228803,Peaton-Auto,Auto,56,2016,61-90
